Name,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Cre,Dec,Det,Fla,Inf,Off,Pos,Tea,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,LTh,Mar,Pas,Pen,Tac,Tec,Age,Position,Value,Predicted_value,Difference
 Noah Michel             ,11,9,6,9,10,10,5,8,3,2,4,11,6,4,2,8,12,8,9,2,13,9, 7   , 4   , 8   , 11  ,9,6, 9   , 3   , 1   , 1   , 8   ,7, 1   ,7,16, ST                          ,0.009,0.24513483,0.2361348304748535
 Connor Taylor         ,12,8,12,6,12,8,15,9,15,11,17,6,7,7,8,15,3,10,10,5,15,17, 10  , 7   , 4   , 7   ,9,10, 6   , 8   , 1   , 4   , 5   ,10, 4   ,8,18, ST                       ,0.04,0.59248686,0.5524868583679199
 Edson Buddle            ,13,13,14,13,15,12,14,15,11,13,12,11,11,11,11,14,8,6,13,11,13,10, 5   , 11  , 10  , 12  ,11,6, 13  , 6   , 10  , 9   , 10  ,11, 9   ,12,30," AM (C), ST                  ",0.8250000000000001,5.0873327,4.262332725524902
 Moussa Sow                      ,16,15,14,11,15,15,15,14,10,16,12,15,13,9,13,16,12,6,16,7,9,13, 6   , 10  , 13  , 16  ,12,9, 13  , 12  , 5   , 4   , 10  ,13, 3   ,13,25, ST                  ,6.5,30.093292,23.59329319000244
 Momar N'Diaye           ,16,12,14,10,12,13,12,13,13,12,12,9,10,9,7,11,12,5,13,5,10,13, 5   , 8   , 12  , 10  ,12,7, 11  , 8   , 5   , 5   , 11  ,12, 7   ,12,23, ST                          ,0.525,5.16886,4.643859958648681
 Jake Taylor          ,14,7,11,6,17,11,14,5,4,5,10,9,7,5,8,10,6,2,7,6,7,13, 4   , 8   , 7   , 8   ,12,3, 3   , 7   , 7   , 7   , 11  ,11, 8   ,11,19," AM (C), ST             ",1.3,0.53778887,-0.7622111320495606
 Henok Goitom            ,12,12,15,15,14,13,12,14,10,13,13,10,8,11,10,13,17,10,14,6,13,12, 5   , 8   , 13  , 13  ,14,5, 12  , 13  , 8   , 5   , 12  ,15, 6   ,13,26, ST                  ,3.5,14.8111105,11.311110496520996
 Ben Seymour-Shove    ,13,11,13,8,8,10,8,3,7,2,7,12,2,6,4,10,8,3,5,8,16,12, 5   , 4   , 4   , 7   ,5,4, 8   , 6   , 1   , 1   , 4   ,3, 1   ,7,17, ST                     ,0.007,0.046548843,0.03954884338378906
 Larsen Tour                    ,15,12,15,13,14,13,12,15,11,12,13,10,10,8,9,13,12,5,12,6,9,14, 6   , 10  , 13  , 10  ,12,10, 13  , 13  , 5   , 4   , 8   ,12, 5   ,13,26," AM (L), ST          ",3.2,5.2313566,2.031356620788574
 Milivoje Novakovic        ,14,13,12,14,13,13,11,14,12,14,13,12,13,11,12,14,11,11,15,6,7,10, 6   , 9   , 11  , 16  ,15,12, 10  , 9   , 10  , 6   , 11  ,12, 6   ,13,32, ST                                 ,3.0,12.21396,9.213959693908691
 Gonzalo Higua¡n         ,13,15,14,12,13,16,15,13,10,17,13,18,12,13,14,16,15,11,18,8,13,13, 8   , 12  , 15  , 18  ,15,10, 13  , 14  , 7   , 4   , 13  ,14, 6   ,15,23, ST                         ,40.5,59.171967,18.67196750640869
 Adriano Grimaldi        ,12,12,14,14,9,11,11,10,10,11,8,9,11,9,13,17,8,13,13,9,11,7, 6   , 9   , 12  , 11  ,9,7, 12  , 8   , 4   , 4   , 11  ,9, 7   ,11,20, ST                          ,2.2,3.3998919,1.1998918533325196
 Jake Fowler          ,13,11,6,6,5,11,6,6,3,7,3,13,9,7,3,8,9,4,7,2,7,6, 5   , 7   , 8   , 8   ,6,8, 6   , 7   , 3   , 4   , 8   ,1, 2   ,6,17," AM (RLC), ST           ",1.5,0.2724433,-1.2275567054748535
 Michael Bradley              ,8,10,14,14,16,16,19,13,17,17,18,9,9,10,8,17,6,13,16,11,18,19, 10  , 10  , 14  , 14  ,14,10, 7   , 14  , 7   , 4   , 15  ,14, 8   ,15,32," AM (LC), ST            ",3.1,13.716686,10.616685771942137
 Rasmus Jnsson            ,12,13,9,15,14,15,12,7,5,14,7,14,15,15,14,11,11,8,14,8,12,12, 6   , 11  , 12  , 13  ,14,6, 9   , 8   , 4   , 5   , 13  ,8, 6   ,14,21," AM (R), ST                         ",4.5,17.492828,12.992828369140625
 Kvin Brigaud                  ,15,13,13,9,14,12,13,12,9,12,11,13,13,7,12,14,12,7,15,8,9,11, 6   , 7   , 12  , 14  ,12,7, 11  , 9   , 5   , 4   , 8   ,12, 2   ,12,23, ST                  ,0.325,4.695418,4.370417881011964
 Maikol Negro                ,14,13,9,5,18,12,11,7,8,10,9,10,10,10,11,12,14,9,13,8,10,10, 9   , 11  , 14  , 12  ,12,12, 5   , 11  , 4   , 3   , 11  ,15, 7   ,13,23," AM (RL), ST           ",2.6,4.8377204,2.2377203941345214
 Demba Ba              ,18,18,12,16,5,16,13,15,16,10,18,8,10,14,9,12,17,4,14,8,11,17, 6   , 10  , 14  , 13  ,16,7, 14  , 14  , 3   , 5   , 11  ,10, 8   ,13,26," AM (L), ST               ",9.0,32.86189,23.86188840866089
 Tommy Smith           ,14,14,15,8,15,13,13,12,7,11,7,13,10,11,11,18,13,14,12,9,15,17, 11  , 13  , 15  , 12  ,13,5, 7   , 8   , 1   , 1   , 12  ,15, 2   ,8,31," AM (R), ST               ",2.4,10.786457,8.386457061767578
 Ion Vlez               ,14,15,11,12,8,13,14,15,12,11,16,12,10,10,11,11,11,8,13,11,15,15, 5   , 10  , 11  , 11  ,6,8, 15  , 11  , 7   , 4   , 10  ,7, 6   ,11,26, ST                  ,1.2,2.5383997,1.3383996963500977
 Matteo Piromalli             ,10,12,13,13,18,13,7,6,13,6,4,10,9,6,6,9,4,11,8,6,7,12, 7   , 10  , 7   , 12  ,10,7, 9   , 6   , 5   , 3   , 8   ,2, 3   ,9,18," AM (RL), ST            ",0.10999999999999999,0.97129345,0.8612934494018555
 Shaquile Coulthirst   ,12,11,8,8,16,12,6,5,7,7,1,5,4,9,2,6,9,1,11,2,6,8, 5   , 5   , 5   , 9   ,8,8, 6   , 10  , 1   , 2   , 8   ,4, 1   ,5,16, ST                       ,0.04,0.16425848,0.12425848007202148
 Moses Lamidi            ,16,16,9,7,8,15,10,9,7,8,9,7,7,8,7,12,12,5,11,4,11,12, 8   , 12  , 13  , 11  ,12,6, 5   , 9   , 6   , 4   , 12  ,9, 5   ,13,23," AM (RL), ST                 ",0.525,6.903608,6.378607845306396
 Alessio Cola                 ,12,11,12,12,13,8,6,4,10,4,4,4,5,1,9,9,9,11,1,2,10,10, 7   , 3   , 10  , 11  ,10,8, 11  , 6   , 1   , 4   , 6   ,1, 3   ,8,17, ST                     ,0.09,0.09588957,0.005889568328857429
 Sebasti n Fern ndez     ,14,14,10,6,15,16,15,8,15,14,16,12,10,14,13,15,13,11,17,14,13,15, 12  , 14  , 15  , 11  ,13,12, 8   , 11  , 6   , 7   , 13  ,11, 5   ,14,26, ST                         ,3.7,27.216091,23.516091156005857
 Martin Pusic         ,12,11,10,12,8,12,11,9,5,8,11,8,9,8,11,12,8,5,13,6,11,13, 4   , 12  , 8   , 10  ,12,4, 12  , 8   , 6   , 4   , 9   ,6, 4   ,10,23," AM (LC), ST            ",0.05499999999999999,2.3022604,2.247260398864746
 Petar Sliskovic         ,11,9,14,16,9,14,14,10,10,13,13,15,9,12,8,8,10,11,15,14,8,7, 4   , 7   , 8   , 13  ,6,5, 12  , 12  , 5   , 8   , 7   ,6, 4   ,12,20, ST                          ,2.1,4.7091603,2.6091603279113773
 Youssef Adnane                  ,14,12,13,10,14,13,14,12,7,12,9,15,13,8,11,10,13,5,13,6,8,10, 5   , 8   , 12  , 14  ,12,11, 12  , 11  , 5   , 3   , 10  ,14, 3   ,12,25, ST                  ,4.2,5.8887577,1.6887577056884768
 Leandro Selleri              ,12,8,6,9,17,11,7,2,13,3,1,5,4,7,3,7,8,11,2,2,10,10, 3   , 5   , 8   , 10  ,7,7, 9   , 6   , 5   , 2   , 8   ,10, 3   ,10,19, ST                     ,0.028,0.12799263,0.09999263000488282
 Daniele Mariani             ,6,8,9,8,10,10,7,2,17,5,2,6,2,3,2,6,13,4,11,3,14,8, 6   , 4   , 9   , 12  ,10,3, 7   , 6   , 1   , 1   , 5   ,7, 1   ,9,16, ST                    ,0.007,0.076437,0.06943699645996093
 Bobby Zamora          ,13,11,13,14,13,13,15,16,11,16,14,13,12,13,12,11,14,8,14,11,14,16, 5   , 10  , 14  , 14  ,13,13, 15  , 14  , 4   , 8   , 14  ,16, 7   ,15,30, ST                       ,5.5,13.500571,8.000571250915527
 Simone Napoli                ,9,12,11,11,8,12,11,3,13,8,5,6,8,5,3,10,10,10,3,6,8,13, 5   , 2   , 6   , 9   ,10,8, 6   , 6   , 1   , 1   , 9   ,5, 5   ,9,16, ST                     ,0.09,0.44502258,0.3550225830078125
 Marco Motta                  ,15,12,13,11,13,15,15,13,17,14,15,8,8,11,8,16,11,13,15,10,15,16, 3   , 8   , 13  , 13  ,10,4, 8   , 6   , 2   , 2   , 9   ,9, 4   ,11,23," AM (L), ST             ",2.3000000000000003,12.496317,10.19631643295288
 Clment Couturier               ,12,9,13,11,13,11,9,11,12,7,7,8,9,7,8,10,16,5,10,6,12,9, 5   , 7   , 7   , 9   ,9,5, 10  , 11  , 5   , 4   , 7   ,10, 3   ,9,17," AM (C), ST          ",0.6,0.85306644,0.2530664443969727
 Iago Falqu           ,13,14,10,7,11,11,11,8,8,12,7,15,7,16,13,10,18,6,13,6,10,8, 15  , 14  , 16  , 13  ,17,15, 6   , 14  , 6   , 4   , 15  ,15, 6   ,18,21," AM (LC), ST              ",3.9000000000000004,26.948223,23.04822311401367
 Bradley Anderson      ,7,8,8,6,8,9,6,2,5,4,2,10,4,2,7,7,17,8,11,5,12,10, 4   , 6   , 2   , 12  ,11,3, 9   , 2   , 1   , 4   , 4   ,1, 1   ,6,17, ST                       ,0.011999999999999999,0.08492708,0.07292708206176758
 Lorenzo De Rose             ,7,10,9,12,16,12,8,6,16,6,5,6,8,4,6,9,11,6,7,5,11,13, 5   , 7   , 10  , 11  ,10,7, 10  , 8   , 3   , 3   , 6   ,5, 3   ,8,18, ST                    ,0.002,0.39046526,0.38846525955200195
 Joseph Regnault                 ,12,9,10,8,8,10,8,3,8,4,4,7,4,6,4,9,13,5,10,7,9,13, 6   , 5   , 9   , 9   ,13,8, 11  , 11  , 1   , 3   , 7   ,9, 5   ,12,16, ST                  ,1.0,0.4816699,-0.5183300971984863
 Alex Chamberlain      ,14,11,13,8,15,15,12,9,5,9,11,9,10,12,10,7,14,7,11,7,11,12, 8   , 13  , 13  , 10  ,10,6, 7   , 7   , 5   , 5   , 8   ,9, 7   ,12,17," M/AM (RLC), ST           ",19.25,5.021348,-14.228652000427246
 Franco Jara             ,13,15,14,11,14,14,15,13,11,13,15,13,12,13,13,15,14,10,14,4,12,14, 11  , 13  , 14  , 15  ,13,10, 11  , 15  , 5   , 6   , 12  ,16, 7   ,14,22, ST                         ,5.0,53.148823,48.14882278442383
 Nico Thowgivat       ,11,9,11,13,13,8,4,3,5,3,9,3,3,4,5,10,12,9,11,2,5,9, 2   , 2   , 7   , 10  ,5,5, 8   , 11  , 1   , 4   , 4   ,6, 4   ,7,16, ST                     ,0.007,0.04719019,0.040190189361572266
 Semih Esen              ,12,12,12,6,10,12,4,4,11,6,4,9,4,5,10,9,9,10,8,3,6,9, 3   , 8   , 12  , 11  ,12,5, 12  , 5   , 1   , 1   , 9   ,8, 5   ,10,17, ST                          ,1.2,2.097559,0.8975589752197266
 Fabi n Orellana         ,16,15,9,5,14,15,12,8,8,11,8,11,11,13,12,14,16,8,15,9,14,12, 14  , 13  , 14  , 11  ,14,12, 5   , 8   , 4   , 4   , 14  ,14, 5   ,15,25," AM (RL), ST         ",5.75,16.146263,10.39626407623291
 Janis Danner            ,11,8,7,12,14,9,3,3,10,3,3,7,6,3,4,9,13,5,12,4,4,8, 8   , 5   , 9   , 12  ,8,7, 10  , 6   , 5   , 2   , 7   ,7, 5   ,6,16, ST                          ,0.9750000000000001,0.09940863,-0.8755913734436036
 Jussi                          ,14,14,14,10,11,15,12,12,11,12,10,11,6,13,9,10,15,6,14,6,8,9, 13  , 13  , 16  , 10  ,14,13, 8   , 12  , 7   , 5   , 14  ,15, 5   ,16,27," M (L), AM (LC), ST  ",5.0,19.550323,14.550323486328125
 Alessandro Santini           ,11,8,5,11,14,10,6,4,7,3,9,7,1,3,1,6,15,2,5,2,10,8, 6   , 4   , 11  , 12  ,11,8, 12  , 7   , 2   , 1   , 6   ,8, 5   ,7,16, ST                     ,0.026,0.28861046,0.26261045837402347
 Emanuele Trigidia           ,9,9,9,11,9,12,6,5,9,7,3,5,7,7,4,6,14,2,11,4,7,10, 6   , 4   , 9   , 8   ,11,7, 10  , 6   , 3   , 6   , 4   ,9, 1   ,8,17, ST                    ,0.0029999999999999996,0.24268866,0.23968865585327148
 David Villa             ,15,18,11,9,13,15,15,10,12,17,13,14,13,15,16,16,17,13,19,7,12,15, 13  , 13  , 16  , 17  ,16,16, 12  , 15  , 7   , 5   , 15  ,19, 8   ,17,29," AM (L), ST                 ",45.5,61.03116,15.53116035461426
 Vito Marinelli              ,12,8,8,9,4,11,5,2,10,5,6,11,9,3,9,6,13,11,9,6,7,9, 6   , 6   , 9   , 8   ,9,8, 12  , 3   , 1   , 4   , 3   ,5, 2   ,6,20, ST                    ,0.03,0.16903639,0.1390363883972168
 Manuel Pasqual               ,15,15,12,10,12,16,15,12,13,12,11,12,12,11,11,13,7,10,14,12,12,13, 9   , 7   , 9   , 13  ,13,11, 12  , 11  , 7   , 4   , 9   ,10, 3   ,14,18," AM (R), ST             ",5.25,22.392239,17.142239570617676
 Saihou Gassama          ,11,10,12,4,8,12,6,2,12,4,9,6,6,9,7,6,8,8,9,7,9,8, 8   , 9   , 12  , 11  ,11,8, 9   , 9   , 2   , 5   , 7   ,8, 5   ,7,17," AM (RC), ST                ",0.375,0.8050084,0.4300084114074707
 Fabio La Monica           ,10,9,8,11,14,11,12,8,6,8,11,8,8,9,7,10,15,2,8,7,11,15, 8   , 7   , 8   , 9   ,8,10, 10  , 6   , 2   , 5   , 7   ,10, 5   ,7,17," AM (LC), ST                        ",0.16,0.3816223,0.221622314453125
 Alexis Sainrimat                ,12,9,13,12,15,14,8,7,8,10,9,9,6,9,7,10,13,5,12,3,7,8, 5   , 6   , 10  , 7   ,11,6, 10  , 8   , 5   , 3   , 8   ,8, 1   ,13,16, ST                  ,2.7,1.8749213,-0.8250786781311037
 Alberto Patania              ,9,14,12,6,11,7,4,2,7,5,13,6,5,1,6,9,3,4,1,11,1,2, 4   , 8   , 9   , 11  ,10,6, 11  , 6   , 4   , 5   , 13  ,8, 6   ,12,22, ST                     ,0.8999999999999999,0.32390594,-0.5760940551757812
 Alexandre Ballard               ,13,11,9,5,11,11,10,5,10,7,6,7,6,11,8,10,13,5,9,4,7,12, 9   , 11  , 13  , 8   ,10,9, 5   , 13  , 4   , 2   , 9   ,3, 2   ,10,18," M/AM (R), ST        ",0.7000000000000001,0.77270985,0.07270984649658196
 Sam Vokes             ,11,10,10,16,11,11,10,17,10,11,10,15,9,10,11,13,12,8,11,11,12,14, 2   , 8   , 9   , 12  ,11,4, 17  , 10  , 2   , 4   , 12  ,10, 4   ,13,21, ST                       ,4.0,5.6396294,1.6396293640136717
 Nicki Bille Nielsen     ,12,12,14,14,12,15,10,14,16,14,15,8,8,12,8,14,15,3,14,7,7,16, 3   , 8   , 13  , 11  ,9,3, 11  , 10  , 6   , 4   , 12  ,6, 4   ,13,23, ST                  ,2.9,3.8316202,0.9316202163696291
 Delron Buckley          ,15,14,13,11,14,14,12,12,8,11,7,10,9,10,11,10,12,13,11,7,13,10, 13  , 12  , 14  , 12  ,13,15, 10  , 12  , 4   , 4   , 12  ,12, 5   ,14,33," AM (L), ST                  ",0.5750000000000001,10.671223,10.096222209930419
 Ismail Seremba        ,14,5,6,4,9,13,6,3,5,4,6,5,5,4,4,10,7,10,4,3,6,7, 5   , 4   , 5   , 6   ,5,8, 3   , 3   , 2   , 1   , 3   ,7, 1   ,6,16," AM (RL), ST              ",0.085,0.07143974,-0.013560256958007819
 Ariel Nahuelpan         ,12,11,19,16,12,12,12,19,18,13,18,9,14,11,12,17,5,10,10,5,12,19, 7   , 9   , 10  , 12  ,12,9, 16  , 12  , 5   , 6   , 12  ,11, 8   ,10,23, ST                         ,3.4000000000000004,14.550633,11.150633430480957
 Roger Miller Rojas Peralta   ,12,12,12,4,15,12,7,2,12,2,3,6,4,5,5,9,5,8,4,5,9,12, 7   , 8   , 11  , 13  ,10,4, 9   , 11  , 2   , 2   , 6   ,3, 1   ,9,17, ST                     ,0.3,0.31769037,0.017690372467041027
 Rubn Rochina         ,14,13,13,9,16,12,14,12,8,12,10,14,10,13,8,12,15,8,14,10,11,10, 10  , 10  , 16  , 14  ,14,10, 8   , 14  , 2   , 2   , 12  ,10, 5   ,14,20," AM (LC), ST              ",0.625,16.647156,16.022155284881592
 Sercan Sararer          ,14,14,15,10,16,15,10,14,15,10,11,11,8,8,9,15,15,4,10,4,7,10, 5   , 9   , 14  , 12  ,13,8, 11  , 10  , 17  , 4   , 10  ,10, 6   ,14,21," AM (RL), ST                 ",1.3,7.1149564,5.814956378936768
 Lorenzo Vigo                ,12,9,8,5,12,11,4,4,13,4,1,5,3,2,3,7,16,10,5,3,6,9, 5   , 4   , 6   , 8   ,9,7, 8   , 6   , 1   , 4   , 2   ,8, 2   ,5,17, ST                    ,0.005,0.05982399,0.05482398986816406
 Pascal Reinhardt          ,13,9,11,9,13,12,8,3,5,11,9,8,7,3,8,9,13,5,11,3,8,12, 7   , 9   , 12  , 9   ,11,9, 13  , 9   , 6   , 7   , 3   ,6, 2   ,12,18, ST                                 ,0.44999999999999996,1.0232854,0.5732853889465332
 Thomas Tour                    ,13,13,12,7,13,13,7,10,8,4,10,3,8,8,8,9,12,11,9,8,9,11, 6   , 4   , 11  , 9   ,8,7, 13  , 10  , 1   , 4   , 10  ,9, 7   ,8,17, ST                  ,1.1,0.8292031,-0.2707968711853027
 Giacomo Ruggeri              ,13,12,13,1,10,12,8,4,8,7,5,6,5,4,5,10,3,9,8,4,10,13, 3   , 3   , 10  , 12  ,9,3, 6   , 4   , 1   , 3   , 8   ,5, 4   ,10,21," AM (C), ST             ",0.05,0.37211657,0.3221165657043457
 Charlie Penney       ,11,10,10,5,17,11,3,2,13,2,2,7,2,3,7,8,12,4,8,4,11,8, 1   , 1   , 7   , 8   ,7,1, 3   , 3   , 1   , 1   , 3   ,7, 1   ,7,16, ST                     ,0.007,0.023186207,0.016186206817626954
 Sbastien Haller                ,9,10,15,15,14,10,13,13,10,10,11,12,7,7,9,10,12,5,13,6,6,11, 3   , 5   , 8   , 12  ,8,9, 15  , 7   , 5   , 4   , 7   ,6, 2   ,12,17, ST                  ,2.2,1.4233565,-0.7766434669494628
 Pierre Merkel           ,14,11,12,14,15,13,9,5,11,4,4,13,14,8,11,9,14,11,13,10,11,14, 10  , 6   , 7   , 14  ,12,10, 14  , 12  , 1   , 10  , 10  ,10, 7   ,14,22, ST                          ,0.14,1.5968943,1.4568942642211913
 Diego Costa             ,16,14,13,13,15,14,14,14,16,15,14,13,11,14,13,14,16,8,15,6,9,9, 11  , 10  , 15  , 14  ,16,11, 12  , 13  , 7   , 4   , 14  ,13, 7   ,15,22," AM (C), ST                 ",3.9000000000000004,42.21754,38.3175407409668
 ?lex Garc¡a             ,11,9,11,9,12,6,8,6,12,3,7,5,5,7,3,8,13,10,13,5,15,12, 3   , 5   , 8   , 13  ,9,7, 12  , 8   , 3   , 3   , 8   ,9, 3   ,5,16, ST                         ,0.07,0.16271114,0.09271114349365235
 Tomas Pekhart             ,13,10,14,14,12,16,11,14,8,11,11,14,9,6,10,14,15,13,14,8,8,9, 6   , 7   , 11  , 14  ,8,6, 14  , 11  , 7   , 8   , 9   ,7, 8   ,11,22, ST                                 ,4.2,6.380317,2.1803172111511233
 Jimmy Briand                    ,17,14,15,11,14,16,15,15,9,14,13,9,13,13,12,17,14,7,16,9,14,16, 7   , 12  , 14  , 11  ,13,8, 12  , 11  , 5   , 6   , 12  ,13, 4   ,14,25," AM (R), ST          ",9.5,34.338314,24.838314533233643
 Victor Anichebe       ,13,9,16,14,14,15,9,18,16,9,13,13,11,13,13,13,9,6,13,11,14,14, 6   , 10  , 11  , 13  ,11,7, 14  , 10  , 5   , 7   , 9   ,12, 4   ,9,23," AM (R), ST               ",5.5,11.501384,6.0013837814331055
 Mirkan Aydin            ,13,11,11,14,13,11,11,11,13,12,12,12,13,12,11,9,11,10,12,7,13,14, 9   , 13  , 13  , 14  ,13,8, 6   , 11  , 8   , 7   , 13  ,9, 7   ,14,23," AM (R), ST                  ",1.4000000000000001,8.638659,7.23865852355957
 Denis Maccan                ,10,10,12,11,13,9,15,13,10,8,10,10,11,10,10,10,7,9,11,12,11,13, 3   , 4   , 7   , 15  ,6,3, 12  , 7   , 4   , 6   , 10  ,8, 7   ,9,27, ST                    ,0.07,0.5379963,0.4679962921142578
 Adam Szalai               ,13,12,15,16,13,13,13,11,13,14,9,13,9,13,13,13,8,8,12,14,11,12, 10  , 11  , 13  , 13  ,11,5, 14  , 12  , 5   , 6   , 13  ,10, 9   ,13,23, ST                                 ,5.75,6.690488,0.9404878616333012
 Ashley Hemmings       ,16,5,9,6,12,16,9,4,5,8,9,9,9,8,7,10,9,1,8,3,8,9, 5   , 7   , 7   , 8   ,9,5, 3   , 7   , 1   , 2   , 7   ,8, 2   ,8,20, ST                       ,0.6,0.58594465,-0.014055347442626931
 Leonardo Pettinari           ,14,13,11,8,12,14,15,11,11,10,10,9,11,8,13,14,12,8,13,8,11,11, 5   , 11  , 11  , 14  ,9,8, 9   , 7   , 5   , 5   , 10  ,16, 8   ,12,23, ST                     ,2.3000000000000003,6.5647817,4.264781665802002
 Isaac N'tow                  ,11,10,10,6,11,11,10,10,11,6,8,6,7,6,7,13,10,7,8,2,6,7, 1   , 2   , 7   , 8   ,12,1, 9   , 4   , 1   , 3   , 2   ,5, 2   ,9,17, ST                     ,0.10999999999999999,0.6782317,0.5682317161560059
 Benjamin Auer           ,11,8,16,13,15,11,12,15,14,16,11,12,12,8,12,14,11,13,16,9,13,15, 9   , 12  , 13  , 14  ,11,11, 16  , 11  , 11  , 9   , 9   ,14, 9   ,11,30, ST                          ,1.7000000000000002,5.117748,3.4177477836608885
 Walter Pandiani         ,11,10,17,12,10,11,10,17,17,14,17,10,13,9,13,15,11,15,13,11,17,15, 5   , 7   , 10  , 14  ,12,9, 18  , 10  , 6   , 4   , 8   ,15, 7   ,10,35, ST                         ,0.325,5.5521393,5.227139282226563
 Simone Dell'Agnello         ,10,10,13,14,12,11,12,13,12,13,13,13,10,8,10,14,7,11,13,6,14,13, 3   , 6   , 7   , 14  ,9,4, 15  , 6   , 5   , 3   , 9   ,10, 8   ,10,19, ST                    ,1.7000000000000002,7.914326,6.214326190948486
 Yoann Bittel                    ,13,11,9,6,14,12,7,7,3,6,1,8,4,6,10,7,11,11,9,3,14,10, 8   , 6   , 11  , 12  ,8,7, 5   , 10  , 1   , 3   , 10  ,9, 2   ,13,16," AM (R), ST          ",1.0,0.7764602,-0.22353982925415045
 Robert Hall          ,12,10,10,10,13,12,7,5,7,9,5,10,8,9,7,7,13,10,13,5,14,10, 6   , 10  , 9   , 12  ,8,4, 9   , 10  , 2   , 6   , 8   ,9, 1   ,6,17, ST                     ,2.7,0.98271847,-1.7172815322875978
 Francesco Margiotta          ,7,9,12,5,16,12,9,3,12,4,7,9,4,10,3,10,6,10,6,5,16,14, 7   , 5   , 10  , 11  ,11,7, 11  , 3   , 3   , 1   , 7   ,1, 1   ,9,19, ST                     ,0.045,0.31009674,0.26509674072265627
 Fernando Torres       ,16,16,15,13,14,17,15,13,14,13,15,13,14,15,13,18,16,13,12,10,13,15, 8   , 12  , 16  , 17  ,15,9, 15  , 15  , 6   , 5   , 13  ,15, 10  ,16,27, ST                       ,80.0,60.81048,-19.18951988220215
 Jordan Diakese                  ,12,7,6,11,12,11,5,4,11,2,5,9,3,2,6,10,12,4,7,2,10,10, 8   , 5   , 11  , 7   ,12,8, 12  , 7   , 1   , 1   , 11  ,8, 6   ,11,15, ST                  ,2.7,0.30944824,-2.3905517578125
 Shelton Gooden       ,11,11,11,12,17,11,6,2,11,5,2,8,3,2,5,8,12,11,8,1,8,11, 3   , 1   , 5   , 7   ,4,2, 2   , 1   , 1   , 2   , 1   ,2, 1   ,4,17, ST                     ,0.007,0.014936924,0.007936923980712891
 Coro                    ,14,12,8,8,10,14,11,11,8,11,12,13,13,11,10,12,11,11,13,7,13,13, 7   , 12  , 13  , 12  ,10,8, 8   , 12  , 6   , 6   , 11  ,11, 7   ,12,28," AM (C), ST          ",1.9,5.860646,3.9606457710266114
 Rowan Vine            ,10,11,9,9,8,9,9,12,7,11,7,10,10,11,12,11,15,8,14,12,11,15, 6   , 8   , 12  , 10  ,12,7, 9   , 10  , 2   , 9   , 12  ,12, 4   ,13,28, ST                       ,0.6,1.00178,0.4017800331115723
 Olivier Lusamba                 ,14,9,15,14,14,13,12,13,6,5,6,10,8,8,9,10,11,6,9,4,7,7, 10  , 7   , 8   , 11  ,9,8, 13  , 8   , 2   , 4   , 6   ,10, 3   ,9,18," AM (C), ST          ",0.775,1.3645172,0.5895172119140625
 Thiago Ribeiro               ,15,16,11,13,16,15,15,11,11,13,14,13,13,14,13,13,14,7,14,6,15,15, 5   , 9   , 11  , 12  ,12,10, 13  , 12  , 5   , 8   , 11  ,14, 6   ,11,26, ST                     ,5.0,17.57139,12.57138967514038
 Dexter Blackstock    ,12,14,11,14,14,14,12,12,9,13,5,12,9,9,11,12,8,5,14,10,12,16, 2   , 10  , 10  , 14  ,10,3, 15  , 8   , 2   , 7   , 10  ,15, 6   ,10,25, ST                     ,2.1,7.809994,5.709994220733643
 Adri n Ramos              ,16,15,11,16,17,18,15,12,15,11,17,9,10,9,11,15,12,7,15,10,7,17, 5   , 7   , 14  , 8   ,10,5, 14  , 6   , 6   , 6   , 9   ,13, 7   ,13,25," AM (L), ST                         ",6.25,5.983112,-0.2668881416320801
 Vyacheslav Hleb         ,12,14,11,11,15,14,12,12,17,10,15,13,10,9,9,17,14,11,11,9,7,12, 12  , 13  , 14  , 13  ,13,14, 10  , 10  , 8   , 8   , 12  ,16, 9   ,14,28," AM (RC), ST                 ",1.2,14.512138,13.312138366699218
 Airam                   ,11,9,14,12,13,10,12,13,9,12,8,13,13,8,13,15,11,11,13,8,11,10, 7   , 7   , 8   , 14  ,11,5, 12  , 12  , 7   , 3   , 10  ,20, 5   ,9,23, ST                         ,1.5,2.8899765,1.3899765014648438
 Kenwyne Jones         ,15,17,14,18,11,15,13,19,10,8,15,11,11,9,13,11,15,5,15,13,13,12, 5   , 7   , 14  , 9   ,13,2, 18  , 8   , 5   , 11  , 10  ,5, 6   ,13,26, ST                       ,8.25,12.5063305,4.2563300132751465
 Marco Ferro                 ,13,11,7,6,13,11,9,8,8,6,8,6,6,3,6,10,8,5,9,6,9,9, 1   , 1   , 4   , 9   ,5,1, 5   , 1   , 1   , 1   , 7   ,8, 1   ,7,30, ST                    ,0.0045,0.06714821,0.06264820861816406
 Miguel Veloso                ,11,12,15,11,11,11,13,13,11,16,11,15,15,15,13,10,10,12,11,16,14,14, 1   , 4   , 12  , 17  ,13,8, 19  , 4   , 1   , 1   , 14  ,15, 1   ,15,29, ST                     ,4.9,12.509687,7.609686946868896
